"","x"
"1","Becky G;Bad Bunny"
"2","Axel »"
"3","J Balvin;Willy William »"
"4","Danny Ocean »"
"5","Joey Montana;Sebastián Yatra »"
"6","Shakira;Nicky Jam »"
"7","Calvin Harris;Big Sean;Katy Perry;Pharrell Williams »"
"8","Carlos Vives;Sebastián Yatra »"
"9","Maite Perroni;Cali y El Dandee »"
"10","Luciano Pereyra"
"11","Sebastián Yatra;Dálmata »"
"12","Nacho »"
"13","Bruno Mars;David Guetta »"
"14","Maroon 5;SZA »"
"15","Lali »"
"16","Nacho;Tini »"
"17","CNCO »"
"18","Cali y El Dandee »"
"19","U2 »"
"20","Foxley »"
"21","No Te Va Gustar »"
"22","Nicky Jam;Wisin »"
"23","Chano! »"
"24","Miranda!;Jesús Navarro »"
"25","The Weeknd »"
"26","Turf »"
"27","Harry Styles »"
"28","Maluma »"
"29","Miranda! »"
"30","Arcade Fire »"
"31","Justin Bieber;BloodPop »"
"32","Luis Fonsi;Daddy Yankee »"
"33","Miley Cyrus »"
"34","CNCO »"
"35","Jesse & Joy;Gente de Zona »"
"36","Juanes »"
"37","Ed Sheeran »"
"38","Pablo Alborán »"
"39","Harry Styles »"
"40","Chayanne;Wisin »"
