",""source"",""target"",""type"",""weight"""
"1,""Shakira"",""Maluma"",""undirected"",40"
"2,""Ariana Grande"",""Nicki Minaj"",""undirected"",13.3333333333333"
"3,""The Weeknd"",""Daft Punk"",""undirected"",10"
"4,""Cédric Gervais"",""Chris Willis"",""undirected"",8"
"5,""Cédric Gervais"",""David Guetta"",""undirected"",8"
"6,""Chris Willis"",""David Guetta"",""undirected"",8"
"7,""J Balvin"",""BIA"",""undirected"",6.66666666666667"
"8,""J Balvin"",""Pharrell Williams"",""undirected"",6.66666666666667"
"9,""J Balvin"",""Sky Rompiendo"",""undirected"",6.66666666666667"
"10,""BIA"",""Pharrell Williams"",""undirected"",6.66666666666667"
"11,""BIA"",""Sky Rompiendo"",""undirected"",6.66666666666667"
"12,""Pharrell Williams"",""Sky Rompiendo"",""undirected"",6.66666666666667"
"13,""Maluma"",""Fifth Harmony"",""undirected"",5.71428571428571"
"14,""Clean Bandit"",""Anne-Marie"",""undirected"",5"
"15,""Clean Bandit"",""Sean Paul"",""undirected"",5"
"16,""Anne-Marie"",""Sean Paul"",""undirected"",5"
"17,""David Guetta"",""Robin Schulz"",""undirected"",4.44444444444444"
"18,""David Guetta"",""Cheat Codes"",""undirected"",4.44444444444444"
"19,""Robin Schulz"",""Cheat Codes"",""undirected"",4.44444444444444"
"20,""Maluma"",""Ricky Martin"",""undirected"",4"
"21,""Maroon 5"",""Kendrick Lamar"",""undirected"",3.63636363636364"
"22,""The Chainsmokers"",""Halsey"",""undirected"",3.07692307692308"
"23,""Kungs"",""Ephemerals"",""undirected"",2.66666666666667"
"24,""The Weeknd"",""Daft Punk"",""undirected"",2.5"
"25,""Martin Garrix"",""Bebe Rexha"",""undirected"",2.22222222222222"
"26,""Giorgio Moroder"",""Karen Harding"",""undirected"",1.6"
"27,""Sia"",""Kendrick Lamar"",""undirected"",1.48148148148148"
"28,""Zion & Lennox"",""J Balvin"",""undirected"",1.33333333333333"
"29,""DJ Snake"",""Justin Bieber"",""undirected"",1.25"
"30,""Shakira"",""Maluma"",""undirected"",40"
"31,""Ariana Grande"",""Nicki Minaj"",""undirected"",20"
"32,""The Weeknd"",""Daft Punk"",""undirected"",13.3333333333333"
"33,""J Balvin"",""BIA"",""undirected"",10"
"34,""J Balvin"",""Pharrell Williams"",""undirected"",10"
"35,""J Balvin"",""Sky Rompiendo"",""undirected"",10"
"36,""BIA"",""Pharrell Williams"",""undirected"",10"
"37,""BIA"",""Sky Rompiendo"",""undirected"",10"
"38,""Pharrell Williams"",""Sky Rompiendo"",""undirected"",10"
"39,""Clean Bandit"",""Anne-Marie"",""undirected"",8"
"40,""Clean Bandit"",""Sean Paul"",""undirected"",8"
"41,""Anne-Marie"",""Sean Paul"",""undirected"",8"
"42,""David Guetta"",""Robin Schulz"",""undirected"",5.71428571428571"
"43,""David Guetta"",""Cheat Codes"",""undirected"",5.71428571428571"
"44,""Robin Schulz"",""Cheat Codes"",""undirected"",5.71428571428571"
"45,""Maluma"",""Ricky Martin"",""undirected"",5"
"46,""Cédric Gervais"",""Chris Willis"",""undirected"",4.44444444444444"
"47,""Cédric Gervais"",""David Guetta"",""undirected"",4.44444444444444"
"48,""Chris Willis"",""David Guetta"",""undirected"",4.44444444444444"
"49,""Maluma"",""Fifth Harmony"",""undirected"",4"
"50,""The Weeknd"",""Daft Punk"",""undirected"",3.33333333333333"
"51,""Maroon 5"",""Kendrick Lamar"",""undirected"",2.85714285714286"
"52,""The Chainsmokers"",""Halsey"",""undirected"",2.5"
"53,""Martin Garrix"",""Bebe Rexha"",""undirected"",2.35294117647059"
"54,""Kungs"",""Ephemerals"",""undirected"",2.10526315789474"
"55,""Zion & Lennox"",""J Balvin"",""undirected"",1.6"
"56,""DJ Snake"",""Justin Bieber"",""undirected"",1.48148148148148"
"57,""Giorgio Moroder"",""Karen Harding"",""undirected"",1.37931034482759"
"58,""Sia"",""Kendrick Lamar"",""undirected"",1.29032258064516"
"59,""Shakira"",""Maluma"",""undirected"",40"
"60,""Ariana Grande"",""Nicki Minaj"",""undirected"",20"
"61,""J Balvin"",""BIA"",""undirected"",13.3333333333333"
"62,""J Balvin"",""Pharrell Williams"",""undirected"",13.3333333333333"
"63,""J Balvin"",""Sky Rompiendo"",""undirected"",13.3333333333333"
"64,""BIA"",""Pharrell Williams"",""undirected"",13.3333333333333"
"65,""BIA"",""Sky Rompiendo"",""undirected"",13.3333333333333"
"66,""Pharrell Williams"",""Sky Rompiendo"",""undirected"",13.3333333333333"
"67,""Clean Bandit"",""Anne-Marie"",""undirected"",10"
"68,""Clean Bandit"",""Sean Paul"",""undirected"",10"
"69,""Anne-Marie"",""Sean Paul"",""undirected"",10"
"70,""The Weeknd"",""Daft Punk"",""undirected"",8"
"71,""David Guetta"",""Robin Schulz"",""undirected"",6.66666666666667"
"72,""David Guetta"",""Cheat Codes"",""undirected"",6.66666666666667"
"73,""Robin Schulz"",""Cheat Codes"",""undirected"",6.66666666666667"
"74,""Maluma"",""Ricky Martin"",""undirected"",5.71428571428571"
"75,""Maluma"",""Fifth Harmony"",""undirected"",4.44444444444444"
"76,""Cédric Gervais"",""Chris Willis"",""undirected"",3.63636363636364"
"77,""Cédric Gervais"",""David Guetta"",""undirected"",3.63636363636364"
"78,""Chris Willis"",""David Guetta"",""undirected"",3.63636363636364"
"79,""The Weeknd"",""Daft Punk"",""undirected"",3.33333333333333"
"80,""The Chainsmokers"",""Halsey"",""undirected"",2.85714285714286"
"81,""Maroon 5"",""Kendrick Lamar"",""undirected"",2.66666666666667"
"82,""Martin Garrix"",""Bebe Rexha"",""undirected"",2.5"
"83,""Kungs"",""Ephemerals"",""undirected"",2.35294117647059"
"84,""Zion & Lennox"",""J Balvin"",""undirected"",1.33333333333333"
"85,""Giorgio Moroder"",""Karen Harding"",""undirected"",1.25"
"86,""DJ Snake"",""Justin Bieber"",""undirected"",1.17647058823529"
"87,""Sia"",""Kendrick Lamar"",""undirected"",1.08108108108108"
"88,""Shakira"",""Maluma"",""undirected"",40"
"89,""Ariana Grande"",""Nicki Minaj"",""undirected"",20"
"90,""Clean Bandit"",""Anne-Marie"",""undirected"",13.3333333333333"
"91,""Clean Bandit"",""Sean Paul"",""undirected"",13.3333333333333"
"92,""Anne-Marie"",""Sean Paul"",""undirected"",13.3333333333333"
"93,""J Balvin"",""BIA"",""undirected"",10"
"94,""J Balvin"",""Pharrell Williams"",""undirected"",10"
"95,""J Balvin"",""Sky Rompiendo"",""undirected"",10"
"96,""BIA"",""Pharrell Williams"",""undirected"",10"
"97,""BIA"",""Sky Rompiendo"",""undirected"",10"
"98,""Pharrell Williams"",""Sky Rompiendo"",""undirected"",10"
"99,""The Weeknd"",""Daft Punk"",""undirected"",8"
"100,""Maluma"",""Ricky Martin"",""undirected"",6.66666666666667"
"101,""David Guetta"",""Robin Schulz"",""undirected"",5.71428571428571"
"102,""David Guetta"",""Cheat Codes"",""undirected"",5.71428571428571"
"103,""Robin Schulz"",""Cheat Codes"",""undirected"",5.71428571428571"
"104,""Tini"",""Sebastián Yatra"",""undirected"",5"
"105,""Cédric Gervais"",""Chris Willis"",""undirected"",3.63636363636364"
"106,""Cédric Gervais"",""David Guetta"",""undirected"",3.63636363636364"
"107,""Chris Willis"",""David Guetta"",""undirected"",3.63636363636364"
"108,""The Weeknd"",""Daft Punk"",""undirected"",3.33333333333333"
"109,""Maluma"",""Fifth Harmony"",""undirected"",3.07692307692308"
"110,""Maroon 5"",""Kendrick Lamar"",""undirected"",2.85714285714286"
"111,""Martin Garrix"",""Bebe Rexha"",""undirected"",2.5"
"112,""The Chainsmokers"",""Halsey"",""undirected"",2.35294117647059"
"113,""Kungs"",""Ephemerals"",""undirected"",2.10526315789474"
"114,""Zayn Malik"",""Taylor Swift"",""undirected"",1.6"
"115,""Zion & Lennox"",""J Balvin"",""undirected"",1.37931034482759"
"116,""Giorgio Moroder"",""Karen Harding"",""undirected"",1.21212121212121"
"117,""DJ Snake"",""Justin Bieber"",""undirected"",1.17647058823529"
"118,""Sia"",""Kendrick Lamar"",""undirected"",1.11111111111111"
"119,""The Weeknd"",""Daft Punk"",""undirected"",40"
"120,""Shakira"",""Maluma"",""undirected"",20"
"121,""Clean Bandit"",""Anne-Marie"",""undirected"",13.3333333333333"
"122,""Clean Bandit"",""Sean Paul"",""undirected"",13.3333333333333"
"123,""Anne-Marie"",""Sean Paul"",""undirected"",13.3333333333333"
"124,""Ariana Grande"",""Nicki Minaj"",""undirected"",10"
"125,""Maluma"",""Ricky Martin"",""undirected"",8"
"126,""Tini"",""Sebastián Yatra"",""undirected"",6.66666666666667"
"127,""J Balvin"",""BIA"",""undirected"",4.44444444444444"
"128,""J Balvin"",""Pharrell Williams"",""undirected"",4.44444444444444"
"129,""J Balvin"",""Sky Rompiendo"",""undirected"",4.44444444444444"
"130,""BIA"",""Pharrell Williams"",""undirected"",4.44444444444444"
"131,""BIA"",""Sky Rompiendo"",""undirected"",4.44444444444444"
"132,""Pharrell Williams"",""Sky Rompiendo"",""undirected"",4.44444444444444"
"133,""Maroon 5"",""Kendrick Lamar"",""undirected"",4"
"134,""David Guetta"",""Robin Schulz"",""undirected"",3.33333333333333"
"135,""David Guetta"",""Cheat Codes"",""undirected"",3.33333333333333"
"136,""Robin Schulz"",""Cheat Codes"",""undirected"",3.33333333333333"
"137,""The Weeknd"",""Daft Punk"",""undirected"",3.07692307692308"
"138,""Maluma"",""Fifth Harmony"",""undirected"",2.66666666666667"
"139,""Cédric Gervais"",""Chris Willis"",""undirected"",2.5"
"140,""Cédric Gervais"",""David Guetta"",""undirected"",2.5"
"141,""Chris Willis"",""David Guetta"",""undirected"",2.5"
"142,""Zayn Malik"",""Taylor Swift"",""undirected"",2.22222222222222"
"143,""Sean Paul"",""Dua Lipa"",""undirected"",2.10526315789474"
"144,""Kungs"",""Ephemerals"",""undirected"",2"
"145,""Martin Garrix"",""Bebe Rexha"",""undirected"",1.66666666666667"
"146,""The Chainsmokers"",""Halsey"",""undirected"",1.6"
"147,""Zion & Lennox"",""J Balvin"",""undirected"",1.37931034482759"
"148,""DJ Snake"",""Justin Bieber"",""undirected"",1.25"
"149,""Giorgio Moroder"",""Karen Harding"",""undirected"",1.14285714285714"
"150,""Sia"",""Kendrick Lamar"",""undirected"",1.05263157894737"
"151,""The Weeknd"",""Daft Punk"",""undirected"",40"
"152,""Shakira"",""Maluma"",""undirected"",20"
"153,""Tini"",""Sebastián Yatra"",""undirected"",13.3333333333333"
"154,""Clean Bandit"",""Anne-Marie"",""undirected"",6.66666666666667"
"155,""Clean Bandit"",""Sean Paul"",""undirected"",6.66666666666667"
"156,""Anne-Marie"",""Sean Paul"",""undirected"",6.66666666666667"
"157,""Ariana Grande"",""Nicki Minaj"",""undirected"",5.71428571428571"
"158,""Luis Fonsi"",""Daddy Yankee"",""undirected"",4.44444444444444"
"159,""Maluma"",""Ricky Martin"",""undirected"",3.63636363636364"
"160,""Zayn Malik"",""Taylor Swift"",""undirected"",3.07692307692308"
"161,""David Guetta"",""Robin Schulz"",""undirected"",2.85714285714286"
"162,""David Guetta"",""Cheat Codes"",""undirected"",2.85714285714286"
"163,""Robin Schulz"",""Cheat Codes"",""undirected"",2.85714285714286"
"164,""J Balvin"",""BIA"",""undirected"",2.66666666666667"
"165,""J Balvin"",""Pharrell Williams"",""undirected"",2.66666666666667"
"166,""J Balvin"",""Sky Rompiendo"",""undirected"",2.66666666666667"
"167,""BIA"",""Pharrell Williams"",""undirected"",2.66666666666667"
"168,""BIA"",""Sky Rompiendo"",""undirected"",2.66666666666667"
"169,""Pharrell Williams"",""Sky Rompiendo"",""undirected"",2.66666666666667"
"170,""Sean Paul"",""Dua Lipa"",""undirected"",2.5"
"171,""Maroon 5"",""Kendrick Lamar"",""undirected"",2.35294117647059"
"172,""The Weeknd"",""Daft Punk"",""undirected"",2.10526315789474"
"173,""Cédric Gervais"",""Chris Willis"",""undirected"",2"
"174,""Cédric Gervais"",""David Guetta"",""undirected"",2"
"175,""Chris Willis"",""David Guetta"",""undirected"",2"
"176,""Kungs"",""Ephemerals"",""undirected"",1.81818181818182"
"177,""Maluma"",""Fifth Harmony"",""undirected"",1.73913043478261"
"178,""Martin Garrix"",""Bebe Rexha"",""undirected"",1.37931034482759"
"179,""The Chainsmokers"",""Halsey"",""undirected"",1.33333333333333"
"180,""Tiësto"",""Bright Sparks"",""undirected"",1.29032258064516"
"181,""Zion & Lennox"",""J Balvin"",""undirected"",1.25"
"182,""DJ Snake"",""Justin Bieber"",""undirected"",1.11111111111111"
"183,""Sia"",""Kendrick Lamar"",""undirected"",1.05263157894737"
"184,""Giorgio Moroder"",""Karen Harding"",""undirected"",1"
"185,""Tini"",""Sebastián Yatra"",""undirected"",20"
"186,""The Weeknd"",""Daft Punk"",""undirected"",13.3333333333333"
"187,""Luis Fonsi"",""Daddy Yankee"",""undirected"",8"
"188,""Shakira"",""Maluma"",""undirected"",5.71428571428571"
"189,""Zayn Malik"",""Taylor Swift"",""undirected"",5"
"190,""Clean Bandit"",""Anne-Marie"",""undirected"",3.63636363636364"
"191,""Clean Bandit"",""Sean Paul"",""undirected"",3.63636363636364"
"192,""Anne-Marie"",""Sean Paul"",""undirected"",3.63636363636364"
"193,""Ariana Grande"",""Nicki Minaj"",""undirected"",3.33333333333333"
"194,""Maluma"",""Ricky Martin"",""undirected"",2.5"
"195,""David Guetta"",""Robin Schulz"",""undirected"",2.35294117647059"
"196,""David Guetta"",""Cheat Codes"",""undirected"",2.35294117647059"
"197,""Robin Schulz"",""Cheat Codes"",""undirected"",2.35294117647059"
"198,""Sean Paul"",""Dua Lipa"",""undirected"",2.22222222222222"
"199,""Cédric Gervais"",""Chris Willis"",""undirected"",2.10526315789474"
"200,""Cédric Gervais"",""David Guetta"",""undirected"",2.10526315789474"
"201,""Chris Willis"",""David Guetta"",""undirected"",2.10526315789474"
"202,""J Balvin"",""BIA"",""undirected"",1.9047619047619"
"203,""J Balvin"",""Pharrell Williams"",""undirected"",1.9047619047619"
"204,""J Balvin"",""Sky Rompiendo"",""undirected"",1.9047619047619"
"205,""BIA"",""Pharrell Williams"",""undirected"",1.9047619047619"
"206,""BIA"",""Sky Rompiendo"",""undirected"",1.9047619047619"
"207,""Pharrell Williams"",""Sky Rompiendo"",""undirected"",1.9047619047619"
"208,""Maroon 5"",""Kendrick Lamar"",""undirected"",1.81818181818182"
"209,""The Weeknd"",""Daft Punk"",""undirected"",1.66666666666667"
"210,""Tiësto"",""Bright Sparks"",""undirected"",1.48148148148148"
"211,""Kungs"",""Ephemerals"",""undirected"",1.42857142857143"
